Full_Name,Age,Total_Academic_Assessment,Mathematics_Proficiency,Physics_Proficiency,Programming_Experience,Problem_Solving_Ability,Technical_Skill_Interest,Creativity_Level,Preferred_Work_Type,High_School_Background,Communication_Skills,Family_Influence,Preferred_Future_Career,Location_Preference,Satisfaction_Score,Drawing_Design_Skills,Climate_Science_Interest,Field_Survey_Interest,Construction_Infrastructure_Interest,Department
Hussein Worku,22,72,67,98,No,3,1,2,Fieldwork,Science,1,Yes,Entrepreneur,No Preference,5,5,3,No,4,Meteorology and Hydrology
Alemayehu Yonas,20,90,51,78,No,2,2,5,Lab Work,Other,2,Yes,Engineer,Rural,4,4,2,Yes,4,Mechanical Engineering
Mohammed Daniel,20,94,86,89,Intermediate,5,3,5,Office Work,Other,5,Somewhat,Developer,Rural,5,2,1,Yes,3,Computer Science
Hailu Worku,26,56,77,54,Intermediate,3,2,1,Office Work,Science,4,Yes,Developer,No Preference,1,5,4,No,1,Civil Engineering
Yonas Sisay,20,67,77,75,Advanced,4,2,3,Fieldwork,Technical,2,Somewhat,Developer,No Preference,3,1,4,No,4,Hydraulic and Water Resources Engineering
Ahmed Gizachew,25,74,56,93,Beginner,4,5,5,Any,Science,3,Somewhat,Developer,Urban,3,4,3,No,3,Hydraulic and Water Resources Engineering
Fitsum Meles,26,52,55,55,Intermediate,5,1,1,Office Work,Other,5,No,Researcher,Rural,2,3,4,Yes,4,Water Resources and Irrigation Engineering
Mohammed Kebede,21,56,73,65,Beginner,4,3,4,Lab Work,Other,3,No,Engineer,Rural,4,5,5,No,1,Electrical Engineering
Omar Samuel,23,59,90,71,Beginner,3,4,3,Office Work,Science,1,No,Developer,No Preference,5,1,1,Yes,4,Water Supply and Environmental Engineering
Tamiru Daniel,21,94,90,94,Beginner,1,5,2,Lab Work,Technical,1,Yes,Researcher,Rural,4,4,3,No,3,Architecture & Urban Planning
Lemma Mohammed,26,78,58,82,Advanced,3,5,3,Fieldwork,Technical,3,Yes,Researcher,Rural,5,4,4,No,4,Mechanical Engineering
Tamiru Yonas,22,84,54,100,Advanced,3,2,3,Fieldwork,Other,2,No,Entrepreneur,No Preference,4,5,4,Yes,1,IT
Tamiru Hassan,25,65,61,96,Advanced,1,2,4,Office Work,Technical,2,Yes,Researcher,No Preference,4,4,2,Yes,3,Civil Engineering
Biruk Nigussie,25,61,67,74,Advanced,3,2,1,Office Work,Technical,2,No,Researcher,Rural,3,3,1,No,2,Meteorology and Hydrology
Bekele Nebiyu,22,65,82,71,Beginner,1,2,1,Any,Technical,3,Yes,Entrepreneur,Rural,3,4,2,Yes,5,Hydraulic and Water Resources Engineering
Fekadu Abebe,23,97,97,51,Advanced,2,3,1,Fieldwork,Other,4,Somewhat,Engineer,Urban,2,2,3,No,5,Water Supply and Environmental Engineering
Biruk Kassahun,24,94,53,66,No,4,1,2,Office Work,Technical,2,No,Engineer,Rural,4,5,1,Yes,3,Civil Engineering
Fekadu Fekadu,22,76,51,80,Beginner,2,2,1,Lab Work,Technical,1,No,Engineer,No Preference,4,5,1,No,5,Water Resources and Irrigation Engineering
Tamiru Worku,20,76,91,77,Advanced,4,5,4,Office Work,Science,5,Somewhat,Engineer,Rural,2,2,4,Yes,3,Computer Science
Alemayehu Gizachew,20,59,60,87,Advanced,2,3,3,Fieldwork,Other,4,No,Engineer,Urban,4,5,1,No,1,Electrical Engineering
Desta Mustafa,25,74,70,91,No,2,5,5,Lab Work,Other,5,Somewhat,Engineer,Urban,2,2,2,No,2,Water Supply and Environmental Engineering
Worku Bekele,23,67,65,92,No,2,1,3,Office Work,Science,4,No,Entrepreneur,Rural,1,3,1,No,1,IT
Hailu Meles,23,57,74,59,Beginner,2,4,4,Fieldwork,Other,1,No,Researcher,Rural,2,2,5,Yes,2,Computer Science
Kebede Melaku,20,78,96,73,No,1,3,2,Any,Science,2,Yes,Engineer,Rural,2,3,3,Yes,3,Electrical Engineering
Zeleke Fekadu,22,99,81,86,Intermediate,2,1,1,Fieldwork,Science,3,No,Researcher,Rural,3,3,5,No,4,Water Resources and Irrigation Engineering
Abebe Ashenafi,20,92,98,68,No,3,4,2,Office Work,Other,2,Yes,Developer,No Preference,2,4,3,Yes,4,Hydraulic and Water Resources Engineering
Nebiyu Hussein,24,62,76,75,Beginner,1,4,3,Office Work,Technical,1,No,Engineer,No Preference,3,3,2,No,3,Architecture & Urban Planning
Fekadu Alemayehu,20,57,80,65,Advanced,2,1,2,Lab Work,Other,1,Yes,Entrepreneur,Rural,5,2,2,No,5,Software Engineering
Fekadu Fekadu,22,69,50,76,Intermediate,4,3,3,Any,Technical,4,Somewhat,Engineer,Urban,3,5,4,Yes,4,Computer Science
Daniel Ali,21,68,81,98,Advanced,5,2,1,Any,Science,1,Yes,Engineer,Urban,2,4,2,Yes,3,Architecture & Urban Planning
Ibrahim Samuel,25,59,76,97,Intermediate,4,1,4,Any,Technical,1,No,Developer,Urban,5,4,1,No,5,Civil Engineering
